email,group_creator,group_id,group_name,group_size,is_anonymous,joined_at,user_created,user_id
,346f783e-ed1b-4b30-9f91-7d5686fc500b,3d3c3100-213e-4487-bb68-662abffcec87,Fase D Journey 1787775694310,3,True,2026-08-26 20:22:00.800171+00,2026-08-26 20:22:00.686475+00,1bfa4624-4590-4374-a86d-d7968471473f
,24155d45-ddea-43b8-825a-d4ba6b62fca9,0753e99b-04f3-487c-b57f-3af263b78b8f,rt-pol,1,True,2026-08-18 05:53:31.268607+00,2026-08-18 05:53:30.506104+00,24155d45-ddea-43b8-825a-d4ba6b62fca9
,346f783e-ed1b-4b30-9f91-7d5686fc500b,8c164f43-1c24-478d-8120-e54d7d8d9b62,M4.5 Browser E2E,3,True,2026-08-24 18:06:40.636961+00,2026-08-24 18:06:40.481407+00,2694dd0b-dc92-40cf-a1f2-33bed83372fc
,346f783e-ed1b-4b30-9f91-7d5686fc500b,6158d230-fa8f-494d-b21c-23156cafe811,Fase C Wishlist Test 1787669894643,2,True,2026-08-25 14:58:36.062133+00,2026-08-25 14:58:35.936586+00,299b5022-9419-4982-b4d9-613763c47f9e
,2acd953d-8e25-418b-9ba9-20237793451e,bfb8fcc6-d871-44f3-86be-7b8f071d443a,BALI,2,True,2026-08-14 20:53:40.68076+00,2026-08-14 20:51:36.291824+00,2acd953d-8e25-418b-9ba9-20237793451e
,346f783e-ed1b-4b30-9f91-7d5686fc500b,c4ac3582-157a-443b-ab48-acf2ceeca183,Fase B Permission Test 1787601180948,2,True,2026-08-24 19:53:15.023287+00,2026-08-24 19:53:14.921201+00,2b6d56ce-6d53-4c8a-8900-31142e346682
,2bb5c091-c0fe-4b8f-ade3-fa8549bb3749,84afdcd9-0b5e-4d5e-805e-397c2ebb6509,R2 Group,1,True,2026-08-18 04:30:37.873811+00,2026-08-18 04:30:37.664277+00,2bb5c091-c0fe-4b8f-ade3-fa8549bb3749
,346f783e-ed1b-4b30-9f91-7d5686fc500b,93cd2e5b-9ea0-4904-8e68-599dc8b91e23,Fase C Wishlist Test 1787775630107,2,True,2026-08-26 20:20:52.60493+00,2026-08-26 20:20:52.501369+00,2c2de129-0ec9-4731-9539-e063fd771578
,346f783e-ed1b-4b30-9f91-7d5686fc500b,594c6bea-3bd5-4333-b666-1522e513a7e6,Fase D Journey 1787668754607,3,True,2026-08-25 14:40:00.400854+00,2026-08-25 14:40:00.311015+00,2edf3088-38c1-4c01-bea4-b7734de7f11d
,346f783e-ed1b-4b30-9f91-7d5686fc500b,1fb28067-3431-4eb6-be72-335c93ab6ca8,Fase C Wishlist Test 1787667333925,2,True,2026-08-25 14:15:54.254658+00,2026-08-25 14:15:54.110985+00,363f25c9-46fe-4d34-bd11-7e9f110d4aee
